Model,Pose,CvFold,F1,Precision,Recall,Support
AdaBoostClassifier,_overall,0,0.040033361134278564,0.040033361134278564,0.040033361134278564,
AdaBoostClassifier,_overall,4,0.04340567612687813,0.04340567612687813,0.04340567612687813,
AdaBoostClassifier,_overall,1,0.0475396163469558,0.0475396163469558,0.0475396163469558,
AdaBoostClassifier,_overall,3,0.05087572977481234,0.05087572977481234,0.05087572977481234,
AdaBoostClassifier,_overall,2,0.05170975813177648,0.05170975813177648,0.05170975813177648,
DecisionTreeClassifier,_overall,1,0.4954128440366973,0.4954128440366973,0.4954128440366973,
DecisionTreeClassifier,_overall,2,0.4970809007506255,0.4970809007506255,0.4970809007506255,
DecisionTreeClassifier,_overall,4,0.5075125208681135,0.5075125208681135,0.5075125208681135,
QuadraticDiscriminantAnalysis,_overall,3,0.5129274395329442,0.5129274395329442,0.5129274395329442,
DecisionTreeClassifier,_overall,3,0.5154295246038365,0.5154295246038365,0.5154295246038365,
DecisionTreeClassifier,_overall,0,0.5212677231025855,0.5212677231025855,0.5212677231025855,
QuadraticDiscriminantAnalysis,_overall,4,0.5275459098497496,0.5275459098497496,0.5275459098497496,
QuadraticDiscriminantAnalysis,_overall,1,0.5454545454545454,0.5454545454545454,0.5454545454545454,
QuadraticDiscriminantAnalysis,_overall,2,0.5462885738115096,0.5462885738115096,0.5462885738115096,
QuadraticDiscriminantAnalysis,_overall,0,0.5512927439532944,0.5512927439532944,0.5512927439532944,
GaussianNB,_overall,3,0.5613010842368641,0.5613010842368641,0.5613010842368641,
GaussianNB,_overall,1,0.5804837364470392,0.5804837364470392,0.5804837364470392,
GaussianNB,_overall,4,0.5893155258764607,0.5893155258764607,0.5893155258764607,
GaussianNB,_overall,0,0.5938281901584654,0.5938281901584654,0.5938281901584654,
GaussianNB,_overall,2,0.5963302752293578,0.5963302752293578,0.5963302752293578,
MLPClassifier,_overall,3,0.677231025854879,0.677231025854879,0.677231025854879,
SVC,_overall,4,0.6819699499165276,0.6819699499165276,0.6819699499165276,
MLPClassifier,_overall,4,0.6828046744574291,0.6828046744574291,0.6828046744574291,
RandomForestClassifier,_overall,3,0.6847372810675563,0.6847372810675563,0.6847372810675563,
SVC,_overall,3,0.6864053377814846,0.6864053377814846,0.6864053377814846,
SVC,_overall,1,0.6880733944954128,0.6880733944954128,0.6880733944954128,
KNeighborsClassifier,_overall,3,0.6880733944954128,0.6880733944954128,0.6880733944954128,
KNeighborsClassifier,_overall,4,0.7011686143572621,0.7011686143572621,0.7011686143572621,
MLPClassifier,_overall,2,0.7022518765638032,0.7022518765638032,0.7022518765638032,
RandomForestClassifier,_overall,1,0.7030859049207673,0.7030859049207673,0.7030859049207673,
MLPClassifier,_overall,1,0.7039199332777314,0.7039199332777314,0.7039199332777314,
MLPClassifier,_overall,0,0.7055879899916597,0.7055879899916597,0.7055879899916597,
SVC,_overall,2,0.707256046705588,0.707256046705588,0.707256046705588,
KNeighborsClassifier,_overall,2,0.7139282735613011,0.7139282735613011,0.7139282735613011,
KNeighborsClassifier,_overall,1,0.7164303586321935,0.7164303586321935,0.7164303586321935,
RandomForestClassifier,_overall,4,0.7203672787979966,0.7203672787979967,0.7203672787979967,
SVC,_overall,0,0.7231025854879066,0.7231025854879066,0.7231025854879066,
RandomForestClassifier,_overall,2,0.725604670558799,0.725604670558799,0.725604670558799,
KNeighborsClassifier,_overall,0,0.7364470391993327,0.7364470391993327,0.7364470391993327,
RandomForestClassifier,_overall,0,0.7381150959132611,0.7381150959132611,0.7381150959132611,
AdaBoostClassifier,adho mukha svanasana,0,0.0,0.0,0.0,14.0
AdaBoostClassifier,adho mukha svanasana,1,0.0,0.0,0.0,13.0
AdaBoostClassifier,adho mukha svanasana,2,0.0,0.0,0.0,14.0
AdaBoostClassifier,adho mukha svanasana,3,0.0,0.0,0.0,14.0
AdaBoostClassifier,adho mukha svanasana,4,0.0,0.0,0.0,14.0
DecisionTreeClassifier,adho mukha svanasana,1,0.48000000000000004,0.5,0.46153846153846156,13.0
DecisionTreeClassifier,adho mukha svanasana,3,0.5161290322580646,0.47058823529411764,0.5714285714285714,14.0
DecisionTreeClassifier,adho mukha svanasana,2,0.6000000000000001,0.5625,0.6428571428571429,14.0
DecisionTreeClassifier,adho mukha svanasana,0,0.6060606060606061,0.5263157894736842,0.7142857142857143,14.0
GaussianNB,adho mukha svanasana,3,0.6153846153846153,0.6666666666666666,0.5714285714285714,14.0
