model,pose,f1,precision,recall,support
AdaBoostClassifier,_overall,0.029460811561978877,0.029460811561978877,0.029460811561978877,
QuadraticDiscriminantAnalysis,_overall,0.4374652584769317,0.43746525847693163,0.43746525847693163,
DecisionTreeClassifier,_overall,0.4963868816008894,0.4963868816008894,0.4963868816008894,
GaussianNB,_overall,0.5742078932740411,0.5742078932740411,0.5742078932740411,
MLPClassifier,_overall,0.6814897165091718,0.6814897165091718,0.6814897165091718,
SVC,_overall,0.6964980544747081,0.6964980544747081,0.6964980544747081,
KNeighborsClassifier,_overall,0.7115063924402447,0.7115063924402446,0.7115063924402446,
RandomForestClassifier,_overall,0.7142857142857143,0.7142857142857143,0.7142857142857143,
AdaBoostClassifier,adho mukha svanasana,0.0,0.0,0.0,21.0
DecisionTreeClassifier,adho mukha svanasana,0.6222222222222222,0.5833333333333334,0.6666666666666666,21.0
MLPClassifier,adho mukha svanasana,0.8444444444444444,0.7916666666666666,0.9047619047619048,21.0
QuadraticDiscriminantAnalysis,adho mukha svanasana,0.8750000000000001,0.7777777777777778,1.0,21.0
GaussianNB,adho mukha svanasana,0.8780487804878048,0.9,0.8571428571428571,21.0
KNeighborsClassifier,adho mukha svanasana,0.9130434782608696,0.84,1.0,21.0
RandomForestClassifier,adho mukha svanasana,0.9302325581395349,0.9090909090909091,0.9523809523809523,21.0
SVC,adho mukha svanasana,0.9767441860465117,0.9545454545454546,1.0,21.0
GaussianNB,adho mukha vriksasana,0.0,0.0,0.0,18.0
AdaBoostClassifier,adho mukha vriksasana,0.08,0.14285714285714285,0.05555555555555555,18.0
QuadraticDiscriminantAnalysis,adho mukha vriksasana,0.4166666666666667,0.8333333333333334,0.2777777777777778,18.0
DecisionTreeClassifier,adho mukha vriksasana,0.5365853658536586,0.4782608695652174,0.6111111111111112,18.0
RandomForestClassifier,adho mukha vriksasana,0.6511627906976745,0.56,0.7777777777777778,18.0
KNeighborsClassifier,adho mukha vriksasana,0.6521739130434783,0.5357142857142857,0.8333333333333334,18.0
MLPClassifier,adho mukha vriksasana,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
SVC,adho mukha vriksasana,0.7317073170731708,0.6521739130434783,0.8333333333333334,18.0
SVC,agnistambhasana,0.0,0.0,0.0,10.0
AdaBoostClassifier,agnistambhasana,0.0,0.0,0.0,10.0
QuadraticDiscriminantAnalysis,agnistambhasana,0.0,0.0,0.0,10.0
DecisionTreeClassifier,agnistambhasana,0.22222222222222224,0.25,0.2,10.0
GaussianNB,agnistambhasana,0.588235294117647,0.7142857142857143,0.5,10.0
KNeighborsClassifier,agnistambhasana,0.631578947368421,0.6666666666666666,0.6,10.0
RandomForestClassifier,agnistambhasana,0.6666666666666665,0.75,0.6,10.0
MLPClassifier,agnistambhasana,0.761904761904762,0.7272727272727273,0.8,10.0
AdaBoostClassifier,ananda balasana,0.0,0.0,0.0,18.0
DecisionTreeClassifier,ananda balasana,0.47058823529411764,0.5,0.4444444444444444,18.0
QuadraticDiscriminantAnalysis,ananda balasana,0.5833333333333334,0.4666666666666667,0.7777777777777778,18.0
RandomForestClassifier,ananda balasana,0.7999999999999999,0.7272727272727273,0.8888888888888888,18.0
GaussianNB,ananda balasana,0.8095238095238096,0.7083333333333334,0.9444444444444444,18.0
SVC,ananda balasana,0.8372093023255813,0.72,1.0,18.0
MLPClassifier,ananda balasana,0.85,0.7727272727272727,0.9444444444444444,18.0
KNeighborsClassifier,ananda balasana,0.8571428571428571,0.75,1.0,18.0
AdaBoostClassifier,anantasana,0.0,0.0,0.0,13.0
QuadraticDiscriminantAnalysis,anantasana,0.0,0.0,0.0,13.0
DecisionTreeClassifier,anantasana,0.7826086956521738,0.9,0.6923076923076923,13.0
GaussianNB,anantasana,0.7857142857142856,0.7333333333333333,0.8461538461538461,13.0
KNeighborsClassifier,anantasana,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
SVC,anantasana,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
RandomForestClassifier,anantasana,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
MLPClassifier,anantasana,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
AdaBoostClassifier,anjaneyasana,0.0,0.0,0.0,19.0
GaussianNB,anjaneyasana,0.3076923076923077,0.5714285714285714,0.21052631578947367,19.0
DecisionTreeClassifier,anjaneyasana,0.33333333333333337,0.35294117647058826,0.3157894736842105,19.0
QuadraticDiscriminantAnalysis,anjaneyasana,0.375,0.3103448275862069,0.47368421052631576,19.0
SVC,anjaneyasana,0.39999999999999997,0.4375,0.3684210526315789,19.0
MLPClassifier,anjaneyasana,0.48275862068965514,0.7,0.3684210526315789,19.0
KNeighborsClassifier,anjaneyasana,0.5641025641025641,0.55,0.5789473684210527,19.0
RandomForestClassifier,anjaneyasana,0.6060606060606061,0.7142857142857143,0.5263157894736842,19.0
AdaBoostClassifier,ardha bhekasana,0.0,0.0,0.0,12.0
QuadraticDiscriminantAnalysis,ardha bhekasana,0.0,0.0,0.0,12.0
DecisionTreeClassifier,ardha bhekasana,0.3870967741935484,0.3157894736842105,0.5,12.0
GaussianNB,ardha bhekasana,0.4848484848484849,0.38095238095238093,0.6666666666666666,12.0
KNeighborsClassifier,ardha bhekasana,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
RandomForestClassifier,ardha bhekasana,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
MLPClassifier,ardha bhekasana,0.7272727272727272,0.8,0.6666666666666666,12.0
SVC,ardha bhekasana,0.75,0.75,0.75,12.0
